script_name,rigor_tier,feature_selection_method,n_features,N,MAE,pearson_r,p_value,equation_or_note
05_baseline_comparison.py (lasso),fully_rigorous,per_fold,3 (varies/fold),29,13.47,0.208,0.2789,"Lasso(alpha=1.0), nested top-3 feature reselection every fold."
05_baseline_comparison.py (ridge),fully_rigorous,per_fold,3 (varies/fold),29,13.58,0.194,0.3131,"Ridge(alpha=10.0), nested top-3 feature reselection every fold."
08_nested_loocv.py,fully_rigorous,per_fold,10-12 (varies/fold),29,13.72,0.16,0.4078,"gplearn, |rho|>0.3 threshold selection re-derived every fold (top-3 fallback if <2 pass). First fully-rigorous nested run this session."
05_baseline_comparison.py (linear),fully_rigorous,per_fold,3 (varies/fold),29,14.25,0.186,0.3336,"LinearRegression, nested top-3 feature reselection every fold."
05_baseline_comparison.py (baseline),fully_rigorous,n/a,0,29,14.47,-1.0,0.0,"Predict-mean baseline, PROPERLY nested (training-mean per fold, not whole-sample mean). r=-1.000 is a mathematical artifact of leave-one-out mean construction (pred_i = (sum-age_i)/28, an exact negative linear function of age_i) -- not a real relationship; ignore significance for this row."
10_nested_linear_regression.py,fully_rigorous,per_fold,10-12 (varies/fold),29,15.35,0.125,0.5181,"LinearRegression, same |rho|>0.3 nested selection as 08. Worst of the threshold-based nested runs -- unregularized OLS on ~11 features / 28 training points overfits badly."
12_nested_gplearn_top3.py,fully_rigorous,per_fold,3,29,16.45,-0.024,0.8999,"gplearn, EXACTLY top-3 by rank every fold (no threshold gate). Worst result of the entire session -- r essentially zero. Same 3 features as the fixed-3 runs dominate selection (peak_roll_walkingincline, rom_roll_ratio_stepforward_walk, stride_timing_cv_walking, 23/29 folds) yet still fails, likely because this script does not standardize features before fitting (unlike 09)."
09_improved_model.py (linear),partial_leaky,whole_sample_once,3,29,12.28,0.451,0.014,"LinearRegression, same fixed 3 features every fold (leaky), StandardScaler per fold. Best-looking result of the whole session -- and the most leaky."
03_symbolic_regression.py,partial_leaky,whole_sample_once,8,29,12.31,0.4,0.0314,"gplearn, 8 fixed features chosen by whole-sample Spearman screening; 500-shuffle permutation p=0.018 (also leaky, since features were leaky)"
09_improved_model.py (gplearn),partial_leaky,whole_sample_once,3,29,14.26,0.316,0.0947,"gplearn, same fixed 3 features every fold (leaky), StandardScaler per fold."
04_final_model.py,not_validated,whole_sample_no_holdout,8,29,3.548,0.925,,"NOT cross-validated -- fit on all 29, best of 5 seeds by training MAE. 452-node equation (depth 52), severe overfitting risk. Eq: sub(add(add(inv(add(neg(rom_roll_ratio_stepforward_walk), stride_timing_cv_walking)), abs(add(inv(add(neg(rom_roll_ratio..."
13_final_model_constrained.py,not_validated,whole_sample_no_holdout,8,29,11.96,0.327,0.0837,"NOT cross-validated -- fit on all 29. Heavy parsimony (0.5) collapsed to 3-node equation: 'add(stride_timing_cv_walking, rom_pitch_stepforward)'. No fitted coefficients on raw feature -- likely a numeric-scale coincidence (raw angle value in same numeric range as age in years), not a real relationship."
