model_name,feature_selection_method,n_features_available_as_candidates,selection_criterion,features_selected_final,selection_varies_by_fold,most_frequently_selected_features_with_counts
Ridge (nested top-3),Per-fold nested,33,"Top 3 by |Spearman rho| vs age, ranked (not threshold-gated), recomputed on the 28 training participants each fold","Varies by fold -- see frequency column (top-3 by |Spearman rho| vs age, re-ranked every fold)",True,peak_roll_walkingincline: 28/29; rom_roll_ratio_stepforward_walk: 26/29; stride_timing_cv_walking: 26/29; peak_roll_walking: 2/29; rom_roll_walkingincline: 1/29; rom_pitch_walking: 1/29; rom_pitch_walkingincline: 1/29; stride_timing_cv_walkingincline: 1/29; rom_pitch_stepforward: 1/29
Lasso (nested top-3),Per-fold nested,33,"Top 3 by |Spearman rho| vs age, ranked (not threshold-gated), recomputed on the 28 training participants each fold","Varies by fold -- see frequency column (top-3 by |Spearman rho| vs age, re-ranked every fold)",True,peak_roll_walkingincline: 28/29; rom_roll_ratio_stepforward_walk: 26/29; stride_timing_cv_walking: 26/29; peak_roll_walking: 2/29; rom_roll_walkingincline: 1/29; rom_pitch_walking: 1/29; rom_pitch_walkingincline: 1/29; stride_timing_cv_walkingincline: 1/29; rom_pitch_stepforward: 1/29
Linear (nested top-3),Per-fold nested,33,"Top 3 by |Spearman rho| vs age, ranked (not threshold-gated), recomputed on the 28 training participants each fold","Varies by fold -- see frequency column (top-3 by |Spearman rho| vs age, re-ranked every fold)",True,peak_roll_walkingincline: 28/29; rom_roll_ratio_stepforward_walk: 26/29; stride_timing_cv_walking: 26/29; peak_roll_walking: 2/29; rom_roll_walkingincline: 1/29; rom_pitch_walking: 1/29; rom_pitch_walkingincline: 1/29; stride_timing_cv_walkingincline: 1/29; rom_pitch_stepforward: 1/29
"gplearn (nested, threshold-based, 10-12 features)",Per-fold nested,33,"|Spearman rho| > 0.3 vs age on the 28 training participants; if fewer than 2 pass, top 3 by |rho| taken regardless","Varies by fold, 10-12 features -- see frequency column",True,rom_roll_ratio_stepforward_walk: 29/29; peak_roll_walkingincline: 29/29; stride_timing_cv_walking: 29/29; rom_roll_walkingincline: 29/29; rom_roll_walking: 29/29; peak_roll_walking: 29/29; rom_pitch_walkingincline: 29/29; rom_pitch_walking: 29/29; rom_pitch_stepforward: 28/29; stride_timing_cv_walkingincline: 27/29; vaf_stepforward: 26/29; peak_pitch_stepforward: 5/29; peak_pitch_walkingincline: 2/29; rom_roll_stepforward: 1/29; rom_roll_steplateral: 1/29
"gplearn (nested, forced top-3)",Per-fold nested,33,"Top 3 by |Spearman rho| vs age, ranked (not threshold-gated), recomputed on the 28 training participants each fold",Varies by fold -- see frequency column,True,peak_roll_walkingincline: 28/29; rom_roll_ratio_stepforward_walk: 26/29; stride_timing_cv_walking: 26/29; peak_roll_walking: 2/29; rom_roll_walkingincline: 1/29; rom_pitch_walking: 1/29; rom_pitch_walkingincline: 1/29; stride_timing_cv_walkingincline: 1/29; rom_pitch_stepforward: 1/29
Logistic Regression (young/old classification),FIXED (not re-derived within this task),33,"Reused, unchanged, the top-3 whole-sample features originally identified for the AGE-regression task (peak_roll_walkingincline, stride_timing_cv_walking, rom_roll_ratio_stepforward_walk). NOT re-selected per fold, and NOT selected against the classification target (group) at all -- selected against a different variable (age) on the whole sample. This is a real, if narrower, instance of the same whole-sample-selection concern raised elsewhere this session, even though model FITTING (train/test split) was correctly nested.",peak_roll_walkingincline; stride_timing_cv_walking; rom_roll_ratio_stepforward_walk,False,N/A -- fixed every fold (29/29 for all 3)
XGBoost (young/old classification),Per-fold nested,33,"Top 3 by |Spearman rho| vs age, ranked (not threshold-gated), recomputed on the 28 training participants each fold",Varies by fold -- see frequency column,True,"peak_roll_walkingincline: 28/29; rom_roll_ratio_stepforward_walk: 26/29; stride_timing_cv_walking: 26/29; peak_roll_walking: 2/29; rom_roll_walkingincline: 1/29; rom_pitch_walking: 1/29; rom_pitch_walkingincline: 1/29; stride_timing_cv_walkingincline: 1/29; rom_pitch_stepforward: 1/29 (recovered from run14.log console output, not a dedicated per-fold CSV)"
Group interaction model (Model A & B),FIXED (not selected at all -- pre-specified by hypothesis),33,"Not a data-driven selection -- the same 3 features used throughout this session's main analysis were specified directly as the model's terms, by design of the test itself.",peak_roll_walkingincline; stride_timing_cv_walking; rom_roll_ratio_stepforward_walk,False,"N/A -- fit once on the full (listwise-deleted) cohort, not cross-validated"
"Linear (3-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",33,"Top 3 by |Spearman rho| vs age, computed ONCE using all 29 participants before any LOOCV fold was run",peak_roll_walkingincline; stride_timing_cv_walking; rom_roll_ratio_stepforward_walk,False,N/A -- identical every fold by construction (29/29)
"gplearn (8-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",33,"|Spearman rho| > 0.3 vs age, computed ONCE using all 29 participants, then pruned to 8 by removing redundant pairs (|Pearson r| > 0.8)",peak_roll_walkingincline; stride_timing_cv_walking; rom_roll_ratio_stepforward_walk; peak_roll_walking; rom_pitch_walkingincline; stride_timing_cv_walkingincline; rom_pitch_stepforward; vaf_stepforward,False,N/A -- identical every fold by construction (29/29)
"gplearn (3-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",33,"Same fixed 3-feature set as the Linear leaky row above, reused for the gplearn variant",peak_roll_walkingincline; stride_timing_cv_walking; rom_roll_ratio_stepforward_walk,False,N/A -- identical every fold by construction (29/29)
