model_name,feature_selection_method,n_features,n_participants,MAE,RMSE,RMSE_MAE_ratio,pearson_r,p_value,wilcoxon_p_vs_baseline,bootstrap_ci_lower,bootstrap_ci_upper,significant_at_0.05,notes
Logistic Regression (binary young/old classification),"Fixed (same 3 features, nested LOOCV model fit)",3,29.0,0.6207,,,0.6779,0.032,,,,True,"DIFFERENT TASK TYPE -- MAE column holds ACCURACY (0-1 scale, not years), pearson_r column holds AUC-ROC. Sensitivity(old)=0.5385, Specificity(young)=0.6875. p_value=0.032 is the permutation-test p-value (500 shuffles), not a Pearson-r p-value. The only properly-nested, leakage-free result in the entire session that reaches p<0.05."
"Linear (3-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",3,29.0,12.2759,13.4662,1.097,0.4514,0.014,,,,True,"09_improved_model.py; features chosen once on whole sample (leaky) -- best-looking result of the whole session, and the most leaky"
"gplearn (8-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",8,29.0,12.31,14.45,1.1738,0.4,0.0314,,,,True,"03_symbolic_regression.py; 500-shuffle permutation p=0.018 also available (also leaky, since feature selection was leaky)"
Lasso (nested top-3),Per-fold nested,3 (varies/fold),29.0,13.47,14.94,1.1091,0.208,0.2789,0.3808,-3.3605,1.381,False,alpha=1.0
Ridge (nested top-3),Per-fold nested,3 (varies/fold),29.0,13.58,14.96,1.1016,0.194,0.3131,0.442,-3.1759,1.444,False,alpha=10.0
"gplearn (nested, 10-12 features)",Per-fold nested (threshold |rho|>0.3),10-12 (varies/fold),29.0,13.7179,17.4158,1.2696,0.1598,0.4078,0.3808,-4.5012,3.2933,False,08_nested_loocv.py
Linear (nested top-3),Per-fold nested,3 (varies/fold),29.0,14.25,15.89,1.1151,0.186,0.3336,0.9152,-2.8219,2.3339,False,"OLS, no regularization"
Baseline (predict-mean),,0,29.0,14.47,15.27,1.0553,,,,,,False,"Properly nested (training-fold mean, not whole-sample mean). r/p intentionally blank -- would be a mathematical artifact of LOOCV mean construction (r=-1.000 exactly), not a real relationship."
"gplearn (nested, forced top-3)",Per-fold nested (exact top-3 by rank),3,29.0,16.4464,18.3844,1.1178,-0.0244,0.8999,,,,False,12_nested_gplearn_top3.py; not standardized (unlike other nested models) -- no Wilcoxon/bootstrap vs baseline computed this session
"Linear (8-feature, whole-sample, leaky)","Whole-sample (fixed, leaky)",8,,,,,,,,,,False,NOT COMPUTED THIS SESSION -- no Linear regression was run on the 8-feature whole-sample-selected set. The only 8-feature leaky run was gplearn (see below); the only Linear leaky run used the fixed 3-feature set (row below). Do not present numbers for this configuration -- none exist.
Gaussian Process Regressor (RBF kernel),Fixed primary 3-feature set (nested standardisation + imputation),3,29.0,14.1998,15.1519,1.0671,0.1723,0.3713,0.6856,-2.7111,2.2278,False,"ConstantKernel*RBF+WhiteKernel; n_restarts_optimizer=10; kernel hyperparameters fit via marginal likelihood on training fold only. avg_predictive_std=12.3021. Wilcoxon vs Ridge p=0.7172. Calibration: corr(std,abs_err)=-0.5049 (p=0.0052), fraction within 95% PI=0.8966. 500-shuffle permutation test: null r mean=-0.4042 sd=0.4033, permutation p=0.1000 (not significant)."
"Gaussian Process Regressor (Matern kernel, nu=1.5)",Fixed primary 3-feature set (nested standardisation + imputation),3,29.0,13.9207,14.7733,1.0613,0.2152,0.2622,0.6089,-2.9099,1.8256,False,"ConstantKernel*Matern(nu=1.5)+WhiteKernel; n_restarts_optimizer=10; kernel hyperparameters fit via marginal likelihood on training fold only. avg_predictive_std=12.4610. Wilcoxon vs Ridge p=0.5940. Calibration: corr(std,abs_err)=-0.5095 (p=0.0048), fraction within 95% PI=0.9310. 500-shuffle permutation test: null r mean=-0.4336 sd=0.4070, permutation p=0.0600 (not significant at alpha=0.05, closest of any regression model this session)."
