Run,N_features,Feature_selection,Model,N,MAE,RMSE,Pearson_r,p_value,Beats_baseline,Significant,Notes
"Run 1: Lasso regression, nested top-3 features (nested)",3 (varies/fold),Per-fold nested (leakage-free),Lasso regression,29,13.47,14.94,0.208,0.2789,True,False,"Alpha=10.0 not used here -- Lasso alpha=1.0, per task spec."
"Run 2: Ridge regression, nested top-3 features (nested)",3 (varies/fold),Per-fold nested (leakage-free),Ridge regression,29,13.58,14.96,0.194,0.3131,True,False,"Alpha=10.0, nested top-3 feature reselection every fold."
"Run 3: Nested gplearn, 10-12 features per fold (nested)",10-12 (varies/fold),Per-fold nested (leakage-free),gplearn,29,13.72,17.42,0.1598,0.4078,True,False,"Threshold |rho|>0.3 selection re-derived every fold, top-3 fallback if <2 pass."
"Run 4: Linear regression, nested top-3 features (nested)",3 (varies/fold),Per-fold nested (leakage-free),Linear regression,29,14.25,15.89,0.186,0.3336,True,False,Nested top-3 feature reselection every fold.
"Run 5: Predict-mean baseline, properly nested (nested)",0,Per-fold nested (leakage-free),Predict-mean baseline,29,14.47,15.27,,,False,False,"Baseline r/p are a mathematical artifact of LOOCV mean construction (pred_i = (sum-age_i)/28 is an exact negative linear function of age_i, forcing r=-1.000) -- not a real relationship, left blank on purpose."
"Run 6: Nested linear regression, 10-12 features per fold (nested)",10-12 (varies/fold),Per-fold nested (leakage-free),Linear regression,29,15.35,18.23,0.125,0.5181,False,False,"Unregularized OLS on ~11 features / 28 training points -- overfits badly, worst nested-threshold result."
"Run 7: Nested gplearn, exactly top-3 per fold (nested)",3,Per-fold nested (leakage-free),gplearn,29,16.45,18.38,-0.0244,0.8999,False,False,"Worst result of the whole session; r essentially zero. Features not standardized before fitting, unlike Run 8/10."
"Run 8: Linear regression, fixed 3 features (leaky)",3,"Whole-sample (fixed, leaky)",Linear regression,29,12.28,13.47,0.4514,0.014,True,True,"Best-looking result of the whole session, and the most leaky -- 3 features chosen from whole-sample correlation."
"Run 9: gplearn, 8 fixed features (leaky)",8,"Whole-sample (fixed, leaky)",gplearn,29,12.31,14.45,0.4,0.0314,True,True,"500-shuffle permutation p=0.018 also reported, but permutation test itself doesn't fix the leaky feature selection."
"Run 10: gplearn, fixed 3 features (leaky)",3,"Whole-sample (fixed, leaky)",gplearn,29,14.26,16.05,0.3162,0.0947,True,False,"Same 3 fixed features as Run 8, gplearn instead of linear -- worse than its linear counterpart."
"Run 11: gplearn, 452-node equation, full-dataset fit (not cross-validated)",8,No holdout (not cross-validated),gplearn,29,3.548,,0.925,0.0,True,True,"Not cross-validated -- trained and tested on the same 29 participants, for equation discovery only. 452-node/depth-52 equation, severe overfitting. RMSE was not saved for this run (only MAE/r/p were recorded)."
"Run 12: gplearn, 3-node equation (heavy parsimony), full-dataset fit (not cross-validated)",8,No holdout (not cross-validated),gplearn,29,11.96,,0.3267,0.0837,True,False,"Not cross-validated -- trained and tested on the same 29 participants. 3-node equation ('add(stride_timing_cv_walking, rom_pitch_stepforward)') has no fitted coefficients; likely a numeric-scale coincidence (raw angle value in similar numeric range as age in years), not a discovered relationship. RMSE not saved for this run; p-value derived analytically from saved r (raw predictions weren't saved)."
